"text_data","tax","abortion","economy","education","energy","environment","unemployment"
"Mitt Romneyês Plan will INCREASE Middle Class Taxes. @stefcutter http://t.co/gOmMmc2b @GottaLaff #p2 #tcot",1,0,0,0,0,0,0
"RT @current: Mitt Romney wants the middle class to pay $500 more in taxes so the rich can get richer http://t.co/pnhHBfc2 @TYTonCurrent",1,0,0,0,0,0,0
"RT @USAHipster: #IAmNotADemocratBecause they support Terrorists, Voter Fraud, Black Panthers, Unions, Communists, Socialists, Obama &amp ...",0,0,0,0,0,0,0
"RT @FSM_47: Obama Campaign Lies About Ryan Medicare Reform | http://t.co/ahG6EOTY as O'Care takes $500 billion from current Medicare ...",0,0,0,0,0,0,0
"No, Mitt Romney's new drug trafficking fundraising buddy wasn't his former cocaine connection at Bain Capital. Was he?",0,0,0,0,0,0,0
"RT @candacetx: Mitt Romney Facts: As head of the investment company Bain Capital, Romney laid off thousands of workers. http://t.co/G7fXwixf",0,0,0,0,0,0,0
"RT @stefcutter: Romney is right on one thing _ we are a nation of immigrants. So why is he for ""self-deportation"" and against the DREAM Act?",0,0,0,0,0,0,0
"RT @gotdem: Republicans Continue to Lie About Obama and MedicareãDestroy this $716 Billion Lie | Alternet http://t.co/o9mnzXkl",0,0,0,0,0,0,0
"Road Tripping Nuns Take on the Romney-Ryan Budget http://t.co/3mA0mCcO #Mitt2012 #PathToPoverty #2futures #4jobs #p2 #tcot",0,0,0,0,0,0,1
"RT @OFA_CA: ""Obama promised that he would double renewable power generation during his first term, and he did."" http://t.co/zHs8AknI",0,0,0,0,0,1,0
"RT @instapundit: ITêS ROMNEY-RYAN 2012. –Ryan puts the national debt front and center in the election, on par with or maybe even... htt ...",0,0,0,0,0,0,0
"RT @CaptivatingNews: Todd Gregory: Fox Enables Romney's Military Voting Falsehood http://t.co/q8HD5fjn",0,0,0,0,0,0,0
"Black Pastor Slams Obama Conflating Civil Rights with Same-Sex Marriage: William Owens, Sr., a black pastor and ... http://t.co/v8ddeyU1",0,0,0,0,0,0,0
"Tell Mitt Romney: Release your tax returns! http://t.co/qJwRPi9Y | Distractions will not work Mitt.",1,0,0,0,0,0,0
"Vanity Fair investigates Mitt Romneyês use of foreign tax havens for his bank accounts. http://t.co/dNog38Wc",1,0,0,0,0,0,0
"RT @DebWilliams57: RT @conjn19: Famous Drill Instructor Says GEICO Fired Him for Criticizing Obama Admin. http://t.co/jk4f7wOn via @theblaze",0,0,0,0,1,0,0
"RT @ibprofessor: Check and mate! ""Rep. Allen West tells Obama: 'Show us ur sealed college records & we will all show u our tax retur ...",1,0,0,0,0,0,0
"RT @rich1moore: Headline: China wins Miss World beauty pageant. A country won contest? What's next? Obamacare winning Nobel Peace prize. ...",0,0,0,0,0,0,0
"We stand with Majority Leader Harry Reid in asking Mitt Romney to release 10 years worth of tax returns http://t.co/RHHe4WsF @signon",1,0,0,0,0,0,0
"Mitt v. Mitt? Romney Disagrees With Himself On Education In RNC Speech http://t.co/93U5YJUz via @HuffPostEdu",0,0,0,1,0,0,0
"Obama Slams Romny Ryan Tax Plan: They've Been Trying to Sell This Trickle-Down Snake Oil http://t.co/M0ylZHnN",1,0,0,0,1,0,0
"RT @LOLGOP: Romney says abortion rights isn't on the ballot in Nov? The House GOP passed several bills limiting abortion rights. Which w ...",0,1,0,0,0,0,0
"RT @italspk: Maddow: Romney demanded opponentsê tax returns and lied about residency in 2002 | The Raw Story: http://t.co/TYMQxZ9u",1,0,0,0,0,0,0
"RT @deanmeek: Do Democrats Know Obama Cut Medicare? - The Rush Limbaugh Show http://t.co/lXCRKLKS",0,0,0,0,0,0,0
"RT @eddaplumber: I'm 48, been paying into Medicare since 14. 34 yrs! I'll be damned if I'm gonna let some idiot like Paul Ryan or Mitt ...",0,0,0,0,0,0,0
"RT @DickMorrisTweet: This economic and fiscal situation in our country requires someone who is an expert in the field. I don't think Oba ...",0,0,1,0,0,0,0
"Romney Campaign calls police on workers being outsourced by Bain-owned S...: http://t.co/r9eRAYsJ via @youtube",0,0,0,0,0,0,0
"RT @justkarl: Fact-checking fact-checkers on Janesville http://t.co/IDysXtY8 and Medicare http://t.co/0jp0x8Mp #onetweetshopping",0,0,0,0,0,0,0
"RT @Jim_Peoples_: Academic model: Romney will take 52.9% of the vote, 320 electoral votes â Hot Air http://t.co/5PFCZL0F",0,0,0,1,0,0,0
"I paid way more in taxes because I was making way more income. Was I unhappy to pay! Hell no I want to pay then again! Romney/Ryan 2012 4JOB",1,0,0,0,0,0,0
"RT @preciousliberty: Obama regulations kill Ohio #coal mine, hundreds of #jobs wiped out http://t.co/t2wmgNZC #columbus #fracking #bucke ...",0,0,0,0,1,0,1
"RT @BlueDuPage: Jon Huntsman, Sr.: Iêm Not Reidês Source, But Romney Really Needs To Release His Tax Returns http://t.co/eXCsPOYt #Mit ...",1,0,0,0,0,0,0
"RT @CitizenCohn: To go with Clint's invisible man, Romney on Thursday had an invisible jobs plan http://t.co/RPNa5DRZ",0,0,0,0,0,0,1
"RT @Our4thEstate: .@whpresscorps you have enabled incessant slandering of President Obama - Kenyan, Muslim, etc - & he has remained ...",0,0,0,0,0,0,0
"Report: #Obama #Immigration #Policy Partly Responsible for Deaths of #Americans -- http://t.co/2Llgtxp8",0,0,0,0,0,0,0
"RT @GregWHoward: #Obama supporters, are you getting enough playing time (jobs) under Coach #Obama? I'd fire him, too #tcot #p2 #ocra #ob ...",0,0,0,0,0,0,1
"Obama Medicare Ad Ruffles AARP's Feathers http://t.co/J1i77U2h AARP has promoted Obamacare from the get-go.",0,0,0,0,0,0,0
"RT @expatina: The Invisible Obama was cruel to wave Mitt's Invisible Tax Returns around like that. Clint should've stopped him.",1,0,0,0,0,0,0
"RT @leclemot: 63% think that Romney should release his taxes. Romney call those 63% small minded today, and thinks they will still vote ...",1,0,0,0,0,0,0
"RT @JohnFugelsang: Mitt Romney is a millionaire-from-birth asking rural Americans to vote for him so his taxes won't be raised by 3%",1,0,0,0,0,0,0
"RT @Ajblivits: JEWISH GROUP CALLS ROMNEY'S COMMENTS ON PALESTINIANS ""RACIST AND IGNORANT"" http://t.co/VoEje0D4",0,0,0,0,0,0,0
"RT @PragEle: Obama Has Been The Best President For The Stock Market Since Eisenhower http://t.co/hQkLEKMg You'll never hear this on @cnbc",0,0,1,0,0,0,0
"RT @Truthcop: Must see Paul Ryan! Obama is left stuttering! Paul Ryan on Health Care: Answers don't lie in Washington: http://t.co/oz8Tf ...",0,0,0,0,0,0,0
"RT @ChrisJZullo: President Obama's jobs plan would have created 2 million jobs and boost GDP 2% in 2012. Why isn't it working? Republica ...",0,0,1,0,0,0,1
"RT @DavidCornDC: So the US government fed George Romney's family when it fled Mexico? Welfare! #rnc2012",0,0,0,0,0,0,0
"Romney Makes Clear His Plan For Medicare: Partial Privatization | http://t.co/XCPFgfDj",0,0,0,0,0,0,0
"Daily Kos: Global business leaders see Obama as stronger on economy http://t.co/nGj43SYQ via @dailykos Yeah!",0,0,1,0,0,0,0
"RT @majorityfm: Ann Romney: Tax Returns? NO MORE! - VIDEO: http://t.co/iJiu8tJM #p2 #tcot #romneyryan2012 #releasethereturns",1,0,0,0,0,0,0
"In 2011 Obama admin. started including people stopped at border in deportation data. False reporting to inflate performance. via @FoxNews",0,0,0,0,0,0,0
"RT @CuriousLemming: @RockyMtnDigs IMO Putin & Obama are keeping their distance so Obama has a better chance @ re-election. Putin's n ...",0,0,0,0,0,0,0
"RT @RonSupportsYou: Romney/Ryan is ""a shockingly inexperienced ticket, especially when it comes to national security and foreign policy. ...",0,0,0,0,0,0,0
"RT @B140Tweets: Why does RUSH LIMBAUGH HATE #OBAMA so much? Could he be jealous of his education, morals, & character? #BOYCOTTRUSH ...",0,0,0,1,0,0,0
"RT @Rogue1776: Mitt Romney Paid 30%, Not 13% In Federal Income Taxes - Forbes http://t.co/KdF6dl3m Ever hear of charity, lefties? Prolly ...",1,0,0,0,0,0,0
"RT @ezraklein: On Niall Ferguson and the worst, but most common, case against Obama's economic policies: http://t.co/tAQAoeCQ",0,0,1,0,0,0,0
"Obama's MO challenge a candidate who has an unsealed divorce or child custody case #Mitt2012 #TaxReturns",1,0,0,0,0,0,0
"#LyinRyan lied about Akin,his budget, medicare,Ayn Rand,no exceptions for rape/incest & oh a plant that was closed before Obama was elected",0,0,0,0,0,0,0
"RT @theblaze: Greatest threat to Medicare is Obamacare and we're going to stop it, says @PaulRyanVP at #GOP2012",0,0,0,0,0,0,0
"RT @truthteam2012: FACT: Under President Obama, domestic oil production is at a 14-year high, and dependence on foreign oil is at a 20-y ...",0,0,0,0,1,0,0
"Obama secretly authorizes support for Muslim Brotherhood and al-Qaeda jihadists in Syria, **Graphic Video** shows Sy... http://t.co/MtAseUNh",0,0,0,0,0,0,0
"RT @JohnCornyn: Obama's Budget to Add $4.4 Trillion to Debt in Next Four Years http://t.co/nEYBtWvH",0,0,0,0,0,0,0
"RT @JonathanStein4: @hughhewitt Obama's Stormtroopers (Good for a #ReTweet!) http://t.co/eUgRm44z",0,0,0,0,0,0,0
"RT @jimmycasablanca: Texas oil tycoon, T Boone Pickens on Gov Romney's energy plan: ""It will work""",0,0,0,0,1,0,0
"RT @richardhine: Why Won't Mitt Romney Release His Taxes? Are They Kenyan or Something? http://t.co/NVSfD4hl",1,0,0,0,0,0,0
"RT @stefcutter: Ryan @ same Iowa St Fair spot as Romney's ""corporations are people too"" gaffe repeats the welfare lie. 48 hours and alre ...",0,0,0,0,0,0,0
"RT @StevenErtelt: SHOCK: Planned Parenthood Protestor Spits on Romney Supporter http://t.co/yfDd7beC @liveactionfilms @americanpapist #p ...",0,1,0,0,0,0,0
"RT @hardknoxfirst: RT @rationalists: Paul Ryan: ""Snow is proof climate change is false."" Romney says Ryan is the intellectual leader of ...",0,0,0,0,0,1,0
"RT @PaulRyanVP: Pres Obama treated Medicare like piggy bank 2 fund Obamacare; as result nearly 1 of 6 hospitals & nursing homes will close.",0,0,0,0,0,0,0
"Extremist Obama>>Krauthammer: Akin a •nobody,ê Obamaês partial-birth abortion postion •scandalousê http://t.co/e3kUi6as #tcot",0,1,0,0,0,0,0
"Romney Touts Mass. Health Law Heês Sworn Not To Implement http://t.co/QnaHnmxN via @TPM Is that YES or NO",0,0,0,0,0,0,0
"Obama kept his promise...to drive up energy costs for consumers http://t.co/aTh5i8gZ",0,0,0,0,1,0,0
"RT @PaulRyanVP: President Obama treated Medicare like a piggy bank to fund Obamacare; as a result, nearly 1 out of 6 hospitals & nur ...",0,0,0,0,0,0,0
"@PoliticsTonight Paul-the guy you had on to explain the Romney health plan screwed up. There is no pill plan in Romney/Ryan.",0,0,0,0,0,0,0
"RT @YahooFinance: Romney campaign says he wants energy independence for U.S. by 2020 #energy #oil http://t.co/Yo9dJazQ",0,0,0,0,1,0,0
"Interesting chart on jobs and unemployment under each president in the last 60+ years. Obama has the worst... http://t.co/SpR5VO7f",0,0,0,0,0,0,1
"RT @PDPOSKEY: RT @truthteam2012: FACT: President Obama has cut taxes for small businesses 18 times. http://t.co/DSmF37WN",1,0,0,0,0,0,0
"@PoliticsNation Thinks Obama has no plan for a Budget & that is just fine for America. Watch use try to explain now.",0,0,0,0,0,0,0
"Lookie here: for the 31st time, Obama WH says ""don't read too much"" into a jobs report. BAWAHAHA!!!! http://t.co/kCNor47F",0,0,0,0,0,0,1
"RT @JeffersonObama: BREAKING: US ECONOMY SURGES!! US Economy Is Now The Envy Of The World http://t.co/2N76Cqmw #p2 #USECONOMY #OBAMA",0,0,1,0,0,0,0
"RT @jimi2124: Mitt Romney: The Federal Reserve Shouldn't Use New Stimulus Measures To Boost The Still-Sluggish Economy. http://t.co/K3ZieUnn",0,0,1,0,0,0,0
"RT @LisaMcIntire: Romney's tax rate wouldn't make a decent tip.",1,0,0,0,0,0,0
"@Real_Gent_08 racist. Why? The last great president was Reagan. 8 million new jobs. If obama is so great and creating so many jobs...",0,0,0,0,0,0,1
"Romney's energy policy adviser works for a lobbying firm for a major coal company. http://t.co/LdniD4Wc",0,0,0,0,1,0,0
"RT @Moosetracks2012: Listen to workers tell the story of what #RomneyEconomics meant for their small town in Marion, Indiana: http://t.c ...",0,0,1,0,0,0,0
"RT @LitsaDremousis: GOP denies rape, climate change & evolution. But was totally sure about weapons of mass destruction. #Obama2012",0,0,0,0,0,1,0
"""President Obama released his tax returns. It turns out he made $900,000 less in 2011 than he did in..."" http://t.co/czPNsD9b",1,0,0,0,0,0,0
"Obama's Own Words '04: 310,00 Jobs & 5.6% Unemployment Rate Not Good Enough http://t.co/FqkHG848 #Obama Gotta Go #tcot #gop #teaparty #Dems",0,0,0,0,0,0,1
"Obama authorizes secret support for Muslim Brotherhood and al-Qaeda rebels in Syria http://t.co/FRpCkZHE",0,0,0,0,0,0,0
"RT @deniseromano: Romney set up shell companies in the Cayman Islands and Bermuda to avoid U.S. taxes. http://t.co/MVqhwz4m",1,0,0,0,0,0,0
"RT @FreedomWorks: We've had almost four years of the Obama administration. How many jobs have been created in that time? http://t.co/2o ...",0,0,0,0,0,0,1
"Obama Campaign Sues to Restrict Military Voting http://t.co/j40V5gvF",0,0,0,0,0,0,0
"If Romney takes the state of Ohio or PA it will NOT be a legitimate win. Ironic that we preach about democracy & fairness to other nations.",0,0,0,0,0,0,0
"@gabby722 RT! Add your name to demand that Mitt Romney release his tax returns: http://t.co/Vs3lkzED #Romneysucks #NoTaxReturnsNoPeace",1,0,0,0,0,0,0
"RT @DCdebbie: What's the difference between Mitt Romney and Paul Ryan? Ryan submitted his tax returns for his chance to be in the White ...",1,0,0,0,0,0,0
"So, Romney took amnesty 4 foreign investments? Otherwise, a felon? Demand 2 C tax returns!",1,0,0,0,0,0,0
"Obama is not right in the head. Opinion: Barack Obama the abortion extremist - Rich Lowry - http://t.co/CEYDqLGi: http://t.co/1SasGWMw",0,1,0,0,0,0,0
"#ISRAEL - Don't let a 'Singular BHO Moment in Time' - or Supportive Word - dissuade U from fact that #Obama has #Muslim Agenda | #Jewish",0,0,0,0,0,0,0
"#Obama's Double-Dip #Recessions Is Just Around The Corner?#teaparty #brtt #tcot #liberty #patriot #tlot #p2?http://t.co/x4QVeCCD",0,0,1,0,0,0,0
"News from @AP: It's policy and personal: Romney hammered on taxes. http://t.co/mQLdM6mS",1,0,0,0,0,0,0
"RT @IngrahamAngle: NYT: Obamacare could make family coverage too costly http://t.co/aOWR4PHw Exactly how Obama wanted it to go down wher ...",0,0,0,0,0,0,0
"RT @gino1349: ""@Earendil82: AMEN!! RT @SocialistHater: @DineshDSouza you are an American hero. 2016: Obama's America"" An immigrant too.",0,0,0,0,0,0,0
"RT @exposeliberals: MT @PaulRyanVP: President Obama treated Medicare like a piggy bank, raiding $716 billion from it to fund Obamacare. ...",0,0,0,0,0,0,0
"Ship sent to Boston harbor to enforce British taxes on American colonies? HMS ROMNEY - http://t.co/YF42RjFV #irony #historyrepeats #whoopsie",1,0,0,0,0,0,0
"RT @pissedlizard: Can the winner of them""Dinner with Barak"" contest trade it in for dinner with Romney? http://t.co/bNnz8gc6",0,0,0,0,0,0,0
"It's 8PM CST. Do you know where Romney's tax returns are? #SHOWUSYOURTAXRETURNS",1,0,0,0,0,0,0
"RT @mantone1: @Txsleuth unreal. If Romney loses it will be our sides fault and we will deserve everything we get. Gay marriage for the s ...",0,0,0,0,0,0,0
"RT @MarkSimoneNY: Libs protest Chic-Fil-A for opposing gay marriage, but don't protest Obama who donates to Muslim brotherhood which mur ...",0,0,0,0,0,0,0
"RT @DefeatObamaNow: Obama Economic Plan Would Explode Debt to $25.4 Trillion http://t.co/KECXSvgA",0,0,1,0,0,0,0
"RT @neighhay: The most politically brazen feature of Obamacare is Obama's looting of #Medicare. http://t.co/BBgu5QmA #tcot",0,0,0,0,0,0,0
"Mitt Romney used a whiteboard to explain his Medicare plan. Here's what it should say: http://t.co/mfX7xg5S #p2",0,0,0,0,0,0,0
"RT @RedBlueQuest: Gawkerês Romney Files: Seven Takeaways As We Continue To Unearth The Secrets Lurking In Mitt's taxes http://t.co/UF0RK ...",1,0,0,0,0,0,0
"If America was Robin Hood, Obama would be both Robin Hood and Prince John, because he raises taxes for the wealthy to give to the lazy poor.",1,0,0,0,0,0,0
"#whataputz #obama insults #Hispanics & #Latinos (again) http://t.co/oRQbUmeG #obama2012 #TCOT #TeaParty #Cuba #Mexico #immigration",0,0,0,0,0,0,0
"RT @TheAmericanPuls: @DrewMTips @samsteinhp Do you think Harry Reid is lying about Romney's tax returns? Vote@ http://t.co/fqDAz5sl The ...",1,0,0,0,0,0,0
"–@truthteam2012: Want to see how..."" #obama's tax plan will kill the US? #Obama2012 doesn't want you to! #tlot #masen #Democrats #taxes",1,0,0,0,0,0,0
"RT @GroverNorquist: Mitt Romney in NH makes it clear: he opposes tax hikes: http://t.co/ToWyTbfN",1,0,0,0,0,0,0
"RT @marclippincott: Israel: Romney's praising you now, but if you fill him with a room of Palestinians, he'll talk bad about you. #Romn ...",0,0,0,0,0,0,0
"George Romney released 12 years of returns. @MittRomney should too. Sign @BarbaraBoxer's petition http://t.co/PA64XEcI #FatherKnowsBest",0,0,0,0,0,0,0
"Video: Abortion Survivor Blasts Obama http://t.co/p6oMh7Mu",0,1,0,0,0,0,0
"RT @NathanHale1775: Business creates jobs through investment. They won't invest until Obama's gone. Reality, kids. Vote well #P2 #tcot #tlot",0,0,0,0,0,0,1
"RT @rumpfshaker: Republicans, repeat after me until Nov.: ""Ryan Plan DOESN'T cut Medicare for seniors OR people close to retiring. But O ...",0,0,0,0,0,0,0
"RT @Obacalypse: Now Iran warns secret U.S. bases will be hit http://t.co/C7CzAgcI BHO probably told Hollywood what we have in Israel! V ...",0,0,0,0,0,0,0
"RT @rkref: Bob McDonnell ""We haven't raised taxes. But we have raised tolls and fees a ton, which is regressive! A trick I learned from ...",1,0,0,0,0,0,0
"RT @rcooley123: Romney Refuses To Condemn Bachmann's Islamophobic Witch Hunt | ThinkProgress http://t.co/cBu252X6",0,0,0,0,0,0,0
"""Center for Food Safety & Center 4 Environmental Health Sues Obama Adm .... "" http://t.co/rOdwgcei Ty @ObamaFoodorama http://t.co/zT3WD9yh",0,0,0,0,0,1,0
"RT @FrankConniff: Santorum can say Obama waived work requirement for welfare because GOP waived truth requirement for speaking at conven ...",0,0,0,0,0,0,0
"Claim: •Absolute proofê obozo was Indonesian citizen http://t.co/3r1az1nZ obozo is muslim",0,0,0,0,0,0,0
"RT Don't care. @AndrewReagan13: Romney Has Not Paid Taxes for Ten Years I hope its true. More justification to scrap the current tax code.",1,0,0,0,0,0,0
"RT @MWM4444: Ann #Romney: We have nothing to hide in our tax returns. Trust me. When has Mitt ever lied to you? In the last 2 minutes, I ...",1,0,0,0,0,0,0
"RT @shermfrederick: The Obama way. RT –@FreeBeacon: S African co. paid WH's Plouffe $100K, accused of trafficking illegal arms to Iran h ...",0,0,0,0,0,0,0
"RT @newtgingrich: Last night, I explained to @piersmorgan how the Romney/Ryan plan empowers middle class Americans to get a job. Video: ...",0,0,0,0,0,0,0
"Ah SNAP! Condi Rice Can't Name A Specific Obama Foreign Policy Failure | ThinkProgress http://t.co/Y5PzkXnq",0,0,0,0,0,0,0
"RT @StevenErtelt: Sandra Fluke Exploits Akin Dustup to Raise Money for Obama http://t.co/65a47AJF pro-life #prolife #abortion",0,1,0,0,0,0,0
"Coal miners know #Obama is shutting them down .. PA voters, do you? http://t.co/GRjzIgvt #pittsburgh #capandtrade",0,0,0,0,1,0,0
"Dkos: President Obama: 'They want to turn Medicare into a voucher program' http://t.co/5niY8nzN",0,0,0,0,0,0,0
"@UncleRUSH all us ""old"" people need Obama too. My husband 54 we need our soc sec & health benefits",0,0,0,0,0,0,0
"RT @Hardline_Stance: Susana Martinez: Obama promised to pass budget, cut deficit for 3.x years. He hasn't even come CLOSE to his keeping ...",0,0,0,0,0,0,0
"RT @theRealExTex: Lyin' LIARS,baby >New documents reveal Obama administration•cooking booksê to achieve record deportation numbers h ...",0,0,0,0,0,0,0
"Wolf Blitzer tasks Sununu (who is unable to respond) about blatantly false welfare attacks from Romney campaign http://t.co/FKoMArMs",0,0,0,0,0,0,0
"@1GreatThinker Do you read the news or opinion pages.716 billion from Medicare by obama.fact.",0,0,0,0,0,0,0
"RT @Badlifestyle: Obama released his birth certificate last year. #mitt still HAS NOT RELEASED HIS TAX RETURNS. LET'S SEE EM MITT! #go ...",1,0,0,0,0,0,0
"You do NOT need to be a terrorist to be considered a terrorist by #Obama and the FBI. So innocent Americans will be put in FEMA camps.",0,0,0,0,0,0,0
"RT @CarmenAdamucci: ""Itês a matter not of how rich he is, but a matter of trust and a window into his soul."" Romney and His Tax Returns ...",1,0,0,0,0,0,0
"RT @angrycalifornia: Obama's job czar GE Chairman Jeff Immelt moving GE x-ray division to China. http://t.co/rKKTrh2z Shouldn't he be cr ...",0,0,0,0,0,0,0
"RT @SteveKarol: –@NickKristof: Seriously, Romney's speech esp troubled me by mocking rising seas/climate change. The dismissiveness was ...",0,0,0,0,0,1,0
"RT @LiberalPhenom: @chucktodd In case you're missing it, Romney's racist welfare ad is what you call ""swiftboating.""",0,0,0,0,0,0,0
"@usernamenuse @markos At least Ryan can get a budget passed through the house.... Obama can't even get dems to vote for his! #OFailure",0,0,0,0,0,0,0
"Miltitary at Fort Bliss home from Iraq being Redeployed to Afghanstan shortly...Obama brought them home promise + BROKEN! Obama must go!",0,0,0,0,0,0,0
"Obama's Sneaky, Deadly, Costly Car Tax - Michelle Malkin - [page] http://t.co/wk4QmvH5 via @townhallcom",1,0,0,0,0,0,0
"RT @cincinchili: Ohio - reelect Obama & heêll give you more closed coal power plants & skyrocketing electric bills #tcot #teapar ...",0,0,0,0,1,0,0
"RT @randiradio: By 2016 Repubs will be blaming Obama for lying us into Iraq. #projection #LyinRyan",0,0,0,0,0,0,0
"Like maybe Huntsman? -> Harry Reid Aide: Source On Romney's Taxes Is A Republican: http://t.co/MOBtCBcs",1,0,0,0,0,0,0
"RT @AnnFerg80: Lost any remaining respect #Romney after using global warming as a punch line.",0,0,0,0,0,1,0
"RT @stefcutter: Fact-checking Romneyês whiteboard whitewashãnot one of the claims on Romneyês Medicare whiteboard is true. http://t.co/o ...",0,0,0,0,0,0,0
"RT @Mattison: ""GOP's agenda for gay people doesn't include preventing them from being executed outside of the US."" http://t.co/1G2UyBwe ...",0,0,0,0,0,0,0
"RT @TCOT_Talk: RT @patrickuzor Ryan in Ohio:Your Payroll Taxes Should Go to Medicare and Social Security,Not #Obamacare http://t.co/J5u1 ...",1,0,0,0,0,0,0
"RT @KevinDeWine: Military Groups Oppose Obama Campaign Ohio Early Voter Suit - the Obama campaign had no comment b/c they are ashamed! h ...",0,0,0,0,0,0,0
"On Education Swing In •Oiho,ê Obama Misspells Battleground State | Conservative Byte http://t.co/24CjvPhC via @sharethis",0,0,0,1,0,0,0
"RT @politicalwire: Romney campaign says tax study was done by a ""liberal"" group but in primary season said it was ""objective"" group... h ...",1,0,0,0,0,0,0
"RT @RIGHTZONE: Obama is nothing but a carpet bagger dragging America down to institute big government and regulation over Americans.",0,0,0,0,0,0,0
"RT @davidaxelrod: Top House Republican says Romney win would be a ""mandate"" to transform Medicare into a vouchers. http://t.co/AusOdrZK",0,0,0,0,0,0,0
"RT @keder: But remember, Obama says we can't possibly go back to the 'policies of the past' that brought us an average unemployment rate ...",0,0,0,0,0,0,1
"RT @OFA_OH: Politico: ""At no point does the [Obama] lawsuit attempt to curb the rights of active military."" http://t.co/10l724vY",0,0,0,0,0,0,0
"RT @MadBadgerMom: Obama supports partial birth abortion. Do you know exactly what that is? He voted against palliative care for infants ...",0,1,0,0,0,0,0
"""@Jim_Peoples_: Report: Obama Campaign Sues To Restrict Military Voting - Military Voting - Fox Nation http://t.co/GiAfTF2q""",0,0,0,0,0,0,0
"RT @JohnFugelsang ""Obama's doubling the deficit"" sounds way better than ""Obama's finally paying down Bush's war tab.""",0,0,0,0,0,0,0
"RT @PW4SP: Governor Brewer Prevents Obama Turning 80,000 Illegals Into Arizona Welfare Recipients http://t.co/lstKLb0z via @WestJournalism",0,0,0,0,0,0,0
"RT @Mattison: Romney/Ryan are deficit hawks in the same way George W. Bush was: Not at all. http://t.co/XZ3wA3I2 #p2 #tcot #lnyhbt",0,0,0,0,0,0,0
"RT @MicheleBachmann: Obama's budget to add $4.4 trillion to national debt in next four years: http://t.co/CwmSGz2L #tcot",0,0,0,0,0,0,0
"RT @DavidShuster: ,@IngrahamAngle Ryan wants the $700B cut from Medicare to cover tax cuts for rich. Obama wants it for senior care. T ...",1,0,0,0,0,0,0
"RT @DAOWENS44: Bain Documents: Romney Offshore Investments Used 'Blockers' To Avoid Taxes - ABC News http://t.co/a71TNz4a",1,0,0,0,0,0,0
"RT @creepingsharia: Taliban behead 17 AfghansÄfor dancing (while Obama negotiates Taliban release from Gitmo) http://t.co/hHRxG227 #tcot ...",0,0,0,0,0,0,0
"RT @fragmentally: I think I know what Obama is hiding in his college transcripts: Economics.....F Accounting.....F Sociology.......F Tru ...",0,0,1,0,0,0,0
"RT @theheartlander: LEST WE FORGET... It was #Obama's buddy the unrepentant commie terrorist #BillAyers who helped launch #ArabSpring. h ...",0,0,0,0,0,0,0
"RT @PatDollard: Allen West To Obama: Show Us Your College Records And Fast And Furious Docs And Weêll Show You Our Tax Returns http://t. ...",1,0,0,0,0,0,0
"RT @Path2Enlighten: Sorry Ann Romney, trust is something you earn, and Mitt Romney has do nothing but lie pathologically, evade taxes, & ...",1,0,0,0,0,0,0
